Relation,Symmetric,Antisymmetric,relation_type,has_inverse,inversion,,compositional,notes,Type,,Symmetric,anytisemmtric,inversion
AtLocation,,TRUE,,TRUE,LocationContains,,,,,,a R b => b R a  (a != b),a R b => b R a not in R,"(x,y) \in R iff (y,x) \in R^-1"
NotHasProperty,,TRUE,,TRUE,IsPropertyNotOf,,,,,,,,
RelatedTo,TRUE,,,TRUE,<self>,,,,,,,,
Causes,,,,TRUE,IsCausedBy,,,,,,,,
HasContext,TRUE,,,TRUE,<self>,,,,,,,,
HasFirstSubevent,,TRUE,,TRUE,IsSucceededBy,,,,,,,,
dbpediafield,,TRUE,,,,,,skip or treat as related to,,,,,
PartOf,,TRUE,,TRUE,Contains,,,,,,,,
FormOf,TRUE,TRUE,,TRUE,<self>,,,Here it is morphological forms,,,,,
HasPrerequisite,,TRUE,,TRUE,IsRequiredBy,,,,,,,,
dbpediaoccupation,,TRUE,,TRUE,IsDbpediaoccupationOf,,,,,,,,
dbpediacapital,,TRUE,,TRUE,IsDbpediacapitalOf,1 = 1,,,,,,,
dbpedialanguage,,TRUE,,TRUE,IsDbpediaLanguageUsedBy,M - M,,,,,,,
HasA,,TRUE,,TRUE,IsHadBy,M-M,,,,,,,
HasLastSubevent,,TRUE,,TRUE,IsPrecededBy,M-M?,,,,,,,
dbpediagenus,,TRUE,,TRUE,IsGenusContaining,,,H is member of Genus (T),,,,,
dbpediaknownFor,,,,,,,,??,,,,,
SymbolOf,,TRUE,,TRUE,is_symbolized_by,1 = 1,,General case (multiple symbols can sometimes denote same thing),,,,,
DistinctFrom,TRUE,,,TRUE,<Self>,,,,,,,,
EtymologicallyRelatedTo,TRUE,,,TRUE,<Self>,,,,,,,,
DefinedAs,,TRUE,,TRUE,defines,,,,,,,,
HasSubevent,,TRUE,,TRUE,IsSubeventOf,,,,,,,,
CapableOf,,TRUE,,TRUE,IsAbilityOf,,,,,,,,
SimilarTo,TRUE,,,TRUE,<self>,,,,,,,,
LocatedNear,TRUE,,,TRUE,<Self>,,,,,,,,
InstanceOf,,TRUE,,TRUE,HasInstance,,,,,,,,
Desires,,,,TRUE,DesiredBy,,,,,,,,
IsA,,TRUE,,TRUE,SuperClassOf,,,,,,,,
dbpediainfluencedBy,,,,TRUE,influences,,,,,,,,
dbpediaproduct,,TRUE,,TRUE,DbpediaProducedBy,,,,,,,,
Synonym,TRUE,,,TRUE,<self>,,,,,,,,
CausesDesire,,TRUE,,TRUE,IsDesireCausedBy,,,,,,,,
dbpediagenre,,TRUE,,TRUE,DbPediaGenreOf,,,,,,,,
DerivedFrom,,TRUE,,TRUE,CanDerive,,,,,,,,
ReceivesAction,,TRUE,,TRUE,ActionDoneTo,,,,,,,,
MannerOf,,TRUE,,TRUE,CanHaveManner,,,,,,,,
NotCapableOf,,TRUE,,TRUE,IsNotCapabilityOf,,,,,,,,
Antonym,TRUE,,,TRUE,<self>,,,,,,,,
MadeOf,,TRUE,,TRUE,constitutes,,,,,,,,
MotivatedByGoal,,TRUE,,TRUE,motivates,,,,,,,,
HasProperty,,TRUE,,TRUE,ispropertyof,,,,,,,,
CreatedBy,,TRUE,,TRUE,created,,,,,,,,
NotDesires,,,,TRUE,NotDesiredBy,,,,,,,,
UsedFor,,TRUE,,TRUE,MayUse,,,,,,,,
